ID,raw_photo,detection_photo,berry-immature,berry-mature,flower,total_detections
W22131004,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22131004.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22131004.jpg,59,38,0,97
W22131301,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22131301.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22131301.jpg,393,110,0,503
W23011106,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W23011106.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W23011106.jpg,347,26,0,373
W23011108,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W23011108.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W23011108.jpg,221,6,0,227
W23021108,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W23021108.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W23021108.jpg,700,8,0,708
W23041207,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W23041207.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W23041207.jpg,939,17,0,956
W24022702,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24022702.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24022702.jpg,71,19,2,92
W24030104,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24030104.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24030104.jpg,99,28,0,127
W24031604,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24031604.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24031604.jpg,299,28,1,328
W24042701,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24042701.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24042701.jpg,89,0,0,89
W24080701,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24080701.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24080701.jpg,231,51,0,282
W24080803,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24080803.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24080803.jpg,103,28,0,131
W24082303,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W24082303.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W24082303.jpg,353,21,0,374
W2420058,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W2420058.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W2420058.jpg,21,9,0,30
W2420073,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W2420073.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W2420073.jpg,41,4,0,45
W2423004,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W2423004.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W2423004.jpg,312,0,0,312
W2423006,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W2423006.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W2423006.jpg,259,0,0,259
W22101609,/home/usman/Downloads/Test/W22101609.jpg,/home/usman/Downloads/Test/output/./detections/W22101609.jpg,58,6,0,64
